id,comment
273,ロンドンか…嘗て薫子さんとマイちゃんも行ってたよね
274,来週、一番最初のソロありそうな予感が
275,有明駅
276,またファースト名乗ってる
277,侑ちゃんが主役みたいなってる　
278,ついに始まるのね、ファーストライブ！
279,with YOUって主人公の名前といい上手いこというなー
280,響け！ときめき―。
281,スタジアムでのアディショナルタイムはあんなに長かったのに帰ってからの３０分はあっと言う間だった。今週も面白かった、残り１話で全員のファーストライブが描けるのかと思いましたが、Ｃパートでいきなりライブ当日。最終回も自宅から”実況”の予定です。
282,1stライブのロゴじゃん！！！！！！！！！！！！
283,提供
284,ラブライブ！虹ヶ咲学園スクールアイドル同好会 2期 第12話観た。たいへん良いゆうぽむ回でありつつ彼方さんの当番回。ここに妹との関係を絡めるのも構成としてうまいし、出場するアイドル全部を応援するというのが同好会の立ち位置をはっきり示してるのも好き
285,いや、それよか来週で終わり？ ちょっと待ってくれ。まだまだアニガサキの世界を続けてほしいよ。 映画でも3期でも。
286,1stアルバムの曲全部やる、とかはマジでやりそう、さすがに動かない…気はするけど少なくともスクスタのモーションデータはあるしなあ
287, 　 ファーストライブのタイトルはwith YOU・・・良き。そして来週が最終回か・・・アニガサキのスタッフの皆さん、愛ちゃんたちを一人残らず不遇にせず大事にしてくれて本当にありがとう・・・
288,コンクールは本気な人が…とか言ってたのにあの流れで参加決意するの？って一瞬思ったけど…..まあええか！！
289,今時の学生は留学なんて考えねえんだろ。おれは高校の時片想いの子が留年してでも海外行ったから、大学で短期留学の話出た時一人だけ手を挙げたんだ。
290,虹ヶ咲第12話見ました☺️今回は彼方ちゃんが聞き役になって😛人柄の良さが分かる回でしたな☺️歩夢ちゃんと侑ちゃんの短期留学とコンクールを言うのはお互いが照れてる感じがして😝仲が良いからこそ一歩を踏み出せない感じでしたな🤪しかし彼方ちゃんのポニーテールは素晴らしい👍
291,ラブライブ！虹ヶ咲学園スクールアイドル同好会 First Live “with You”についてお知らせします！｜ラブライブ！虹ヶ咲学園スクールアイドル同好会  最後のあれはそういうことです
292,これ、本当の1stライブ通りだったらもしかして1stアルバム曲きちゃうのか・・？
293,12話やばかった…！！彼方ちゃんが神がかってたね…(*^o^*) 彼方ちゃん言っていた通りゆうぽむは身体の距離が離れても気持ちは離れないと思うしそういう関係ってほんとに素敵だと思う(*’▽’*) 次回で最終回とか寂しすぎる！！！😭😭
294,今週の一言感想：作曲コンクールが気になる侑ちゃんと、海外短期留学を考えるあゆぴょん。その背中を優しく押してくれたのは頼れる先輩・彼方ちゃんでした。同時に遥ちゃんたちスクールアイドルの背中も押した所で、来週最終回はいよいよ自分たちの晴れ舞台。最終回も超楽しみです！
295,いい話だなぁ、彼方ちゃんがみんなのお姉ちゃんしてお姉ちゃん無双した回だった しかしこの年末終了の流れだともしかして３期ある流れですかね？
296,侑ちゃんすごすぎる。スクスタ本編での「ソロ曲含め全員分の作詞作曲やってる」設定ですら、「ずっと音楽の勉強してきてて最初から音楽科だったから」でわりと強引に納得させてるのに、途中から音楽科に編入して勉強し始めて一気にコレとは……
